CLUSTER_COUNT	STATUS	CLUSTER_SIZE	DATASET	RESOURCE_URI	CLUSTER_ID	ILN_GROUP

8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24216342p2	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24237572p2	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24314608p2	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24409641p2	PH002ac7ad6c126a8	 
8	B	25	http://www.vondel.humanities.uva.nl/ecartico/persons/	13757	PH002ac7ad6c126a8	 
8	B	25	http://www.vondel.humanities.uva.nl/ecartico/persons/	21522	PH002ac7ad6c126a8	1
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26334478p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26339154p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26340777p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26352040p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26358300p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26360494p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361284p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361285p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361286p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361296p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361386p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361485p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361488p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361541p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361692p1	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361712p1	PH002ac7ad6c126a8	1
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361845p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26386140p3	PH002ac7ad6c126a8	 
8	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26386237p3	PH002ac7ad6c126a8	 

9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24304694p1	PH0562cd0daf6749e	1
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24384694p1	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24472467p1	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24640031p1	PH0562cd0daf6749e	1
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24665369p1	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24704021p1	PH0562cd0daf6749e	1
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24724318p1	PH0562cd0daf6749e	1
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10228538p1	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10228541p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10825175p2	PH0562cd0daf6749e	2
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10825177p1	PH0562cd0daf6749e	2
9	B	25	http://www.vondel.humanities.uva.nl/ecartico/persons/	13345	PH0562cd0daf6749e	 
9	B	25	http://www.vondel.humanities.uva.nl/ecartico/persons/	14998	PH0562cd0daf6749e	 
9	B	25	http://www.vondel.humanities.uva.nl/ecartico/persons/	20030	PH0562cd0daf6749e	1
9	B	25	http://www.vondel.humanities.uva.nl/ecartico/persons/	9933	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26318075p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26318583p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26319063p4	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26321463p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26341991p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26358013p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26359368p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26364354p4	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26371183p2	PH0562cd0daf6749e	 
9	B	25	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26382254p2	PH0562cd0daf6749e	 

10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24360646p2	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24404578p2	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24484767p2	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24500952p2	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24562839p2	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24616076p2	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId11146443p1	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId11146456p2	PH103285fdbbb81d9	1
10	G	10	http://www.vondel.humanities.uva.nl/ecartico/persons/	10471	PH103285fdbbb81d9	1
10	G	10	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26543348p1	PH103285fdbbb81d9	1

11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24360646p1	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24404578p1	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24484767p1	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24500952p1	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24562839p1	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24616076p1	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId11146443p2	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId11146456p1	PH07fd01a1398deac	1
11	G	10	http://www.vondel.humanities.uva.nl/ecartico/persons/	10470	PH07fd01a1398deac	1
11	G	10	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26543348p2	PH07fd01a1398deac	1

12	B	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24285260p2	PH06e4797a5082938	2
12	B	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24519437p2	PH06e4797a5082938	2
12	B	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24678323p2	PH06e4797a5082938	2
12	B	6	http://www.vondel.humanities.uva.nl/ecartico/persons/	15747	PH06e4797a5082938	1
12	B	6	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26377774p1	PH06e4797a5082938	2
12	B	6	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26379331p1	PH06e4797a5082938	1

13	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24211797p2	PH3b050137642221b	1
13	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24286887p2	PH3b050137642221b	1
13	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24310431p2	PH3b050137642221b	1
13	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24313012p2	PH3b050137642221b	1
13	G	5	http://www.vondel.humanities.uva.nl/ecartico/persons/	19127	PH3b050137642221b	1

14	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24211797p1	PH011b827650f8537	1
14	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24286887p1	PH011b827650f8537	1
14	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24310431p1	PH011b827650f8537	1
14	G	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24313012p1	PH011b827650f8537	1
14	G	5	http://www.vondel.humanities.uva.nl/ecartico/persons/	20798	PH011b827650f8537	1

15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24260888p1	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24261977p1	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24343134p1	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24452768p1	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24536824p1	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24658420p1	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10225344p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10225347p1	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10228001p1	PH0b4d336969c4c25	1
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10228005p2	PH0b4d336969c4c25	1
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId9142630p1	PH0b4d336969c4c25	2
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId9142703p2	PH0b4d336969c4c25	2
15	B	28	http://www.vondel.humanities.uva.nl/ecartico/persons/	10672	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26329963p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26330842p4	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26331872p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26334770p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26337446p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26347544p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26348663p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26348755p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26357838p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26358834p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26377404p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26384443p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26384739p2	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26394607p3	PH0b4d336969c4c25	 
15	B	28	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26402260p2	PH0b4d336969c4c25	 

16	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24286916p2	PH3a980736db8e58d	1
16	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24559962p2	PH3a980736db8e58d	1
16	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24656604p2	PH3a980736db8e58d	1
16	G	4	http://www.vondel.humanities.uva.nl/ecartico/persons/	17664	PH3a980736db8e58d	1

17	G	3	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24286916p1	PH208c260145a0ddf	1
17	G	3	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24559962p1	PH208c260145a0ddf	1
17	G	3	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24656604p1	PH208c260145a0ddf	1

18	G	3	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24414729p1	PH50ab257a11095d3	1
18	G	3	http://www.vondel.humanities.uva.nl/ecartico/persons/	15549	PH50ab257a11095d3	1
18	G	3	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26320986p2	PH50ab257a11095d3	1

19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24219764p1	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24473555p1	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24554301p1	PH142481aff51157c	1
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24694102p1	PH142481aff51157c	 
19	B	19	http://www.vondel.humanities.uva.nl/ecartico/persons/	16701	PH142481aff51157c	 
19	B	19	http://www.vondel.humanities.uva.nl/ecartico/persons/	20822	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26320891p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26329804p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26331444p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26331815p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26336496p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26345497p2	PH142481aff51157c	1
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26348014p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26377303p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26379330p4	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26386040p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26391694p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26394563p2	PH142481aff51157c	 
19	B	19	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26398549p2	PH142481aff51157c	 

20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24254615p1	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10801823p2	PH1d30b9abef55987	2
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10801835p1	PH1d30b9abef55987	2
20	B	18	http://www.vondel.humanities.uva.nl/ecartico/persons/	15066	PH1d30b9abef55987	1
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26318376p3	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26318820p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26320740p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26328931p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26343910p2	PH1d30b9abef55987	1
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26347044p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26352336p4	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26354519p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26356759p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26356852p4	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26366333p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26386326p4	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26395240p2	PH1d30b9abef55987	 
20	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26398582p2	PH1d30b9abef55987	 

